algo,mode,n,threads,cutoff,repeats,avg_ms,sorted_ok
merge,seq,100000,1,2048,5,8.075,1
merge,seq,100000,1,2048,5,9.626,1
merge,par,100000,1,2048,5,7.995,1
merge,par,100000,2,2048,5,4.567,1
merge,par,100000,4,2048,5,3.626,1
merge,par,100000,8,2048,5,2.611,1
merge,par,100000,12,2048,5,2.643,1
merge,seq,500000,1,2048,5,47.276,1
merge,par,500000,1,2048,5,45.194,1
merge,par,500000,2,2048,5,23.719,1
merge,par,500000,4,2048,5,17.662,1
merge,par,500000,8,2048,5,12.31,1
merge,par,500000,12,2048,5,11.83,1
merge,seq,1000000,1,2048,5,98.301,1
merge,par,1000000,1,2048,5,98.41,1
merge,par,1000000,2,2048,5,51.355,1
merge,par,1000000,4,2048,5,36.221,1
merge,par,1000000,8,2048,5,24.603,1
merge,par,1000000,12,2048,5,28.956,1
quick,seq,100000,1,2048,5,6.192,1
quick,par,100000,1,4096,5,6.489,1
quick,par,100000,2,4096,5,5.22,1
quick,par,100000,4,4096,5,4.551,1
quick,par,100000,8,4096,5,4.988,1
quick,par,100000,12,4096,5,5.474,1
quick,seq,500000,1,2048,5,34.016,1
quick,par,500000,1,4096,5,38.822,1
quick,par,500000,2,4096,5,22.803,1
quick,par,500000,4,4096,5,19.082,1
quick,par,500000,8,4096,5,15.254,1
quick,par,500000,12,4096,5,14.835,1
quick,seq,1000000,1,2048,5,70.283,1
quick,par,1000000,1,4096,5,70.693,1
quick,par,1000000,2,4096,5,67.463,1
quick,par,1000000,4,4096,5,37.057,1
quick,par,1000000,8,4096,5,34.679,1
quick,par,1000000,12,4096,5,33.767,1
